Date;Time;Global Horiz;Clear-Sky;Top of Atmosphere;Code;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth
01/01/2005;01:00;0;0;0;1;296.82;86.34;976.73;4.68;72.97;0.856743;0.000000;0.000000
01/01/2005;02:00;2;4;12;5;296.78;86.78;977.11;4.36;75.40;1.020029;0.000000;0.000000
01/01/2005;03:00;51;148;246;5;297.02;86.01;977.63;4.73;77.01;1.250245;0.000000;0.000000
01/01/2005;04:00;120;395;557;5;297.29;84.92;978.01;4.96;76.80;1.599438;0.000000;0.000000
01/01/2005;05:00;171;637;844;2;297.52;84.03;978.22;5.22;74.30;1.878873;0.000000;0.000000
01/01/2005;06:00;249;847;1087;2;297.73;83.19;978.27;5.34;69.79;1.923288;0.000000;0.000000
01/01/2005;07:00;319;1007;1269;2;297.92;82.30;978.17;5.27;64.12;1.736481;0.000000;0.000000
01/01/2005;08:00;378;1103;1379;2;298.06;81.66;977.90;5.12;60.63;1.555222;0.000000;0.000000
01/01/2005;09:00;521;1129;1408;2;298.35;80.02;977.60;4.95;60.25;1.174780;0.000000;0.000000
01/01/2005;10:00;335;1082;1354;2;298.68;78.36;977.11;4.78;62.50;0.865326;0.000000;0.000000
01/01/2005;11:00;331;966;1222;2;298.89;77.45;976.65;4.72;65.81;0.657480;0.000000;0.000000
01/01/2005;12:00;253;790;1020;2;298.86;77.46;976.29;4.78;68.14;0.532558;0.000000;0.000000
01/01/2005;13:00;143;568;762;2;298.66;78.38;976.33;4.89;68.85;0.560078;0.000000;0.000000
01/01/2005;14:00;82;322;465;2;298.19;81.12;976.68;5.06;68.68;0.780983;0.000000;0.000000
01/01/2005;15:00;25;85;151;5;297.64;84.07;977.28;5.16;67.09;0.788076;0.000000;0.000000
01/01/2005;16:00;0;0;0;1;297.32;85.80;977.76;5.21;65.47;0.687925;0.000000;0.000000
01/01/2005;17:00;0;0;0;1;297.22;86.39;978.12;5.32;64.60;0.680624;0.000000;0.000000
01/01/2005;18:00;0;0;0;1;297.18;86.63;978.40;5.43;64.34;0.704037;0.000000;0.000000
01/01/2005;19:00;0;0;0;1;297.18;86.71;978.46;5.53;63.72;0.722654;0.000000;0.000000
01/01/2005;20:00;0;0;0;1;297.13;86.88;978.07;5.53;63.11;0.640994;0.000000;0.000000
01/01/2005;21:00;0;0;0;1;297.11;87.01;977.52;5.35;62.56;0.794765;0.000000;0.000000
01/01/2005;22:00;0;0;0;1;297.05;87.07;976.96;5.06;62.76;0.628695;0.000000;0.000000
01/01/2005;23:00;0;0;0;1;296.95;87.51;976.61;4.84;63.24;0.748669;0.000000;0.000000
01/01/2005;24:00:00;0;0;0;1;296.91;87.87;976.46;4.86;64.65;0.815830;0.000000;0.000000
02/01/2005;01:00;0;0;0;1;296.87;88.07;976.41;5.03;67.43;0.878470;0.000000;0.000000
02/01/2005;02:00;2;4;10;5;296.85;88.11;976.65;5.34;70.69;0.691340;0.000000;0.000000
02/01/2005;03:00;57;144;240;5;297.17;86.71;977.23;6.12;71.63;0.797503;0.000000;0.000000
02/01/2005;04:00;145;391;552;5;297.58;84.37;977.59;6.50;70.38;0.946344;0.000000;0.000000
02/01/2005;05:00;215;635;839;5;298.12;81.58;977.78;6.82;67.85;1.002043;0.000000;0.000000
02/01/2005;06:00;311;847;1083;2;298.43;80.09;977.72;6.95;64.85;1.056207;0.000000;0.000000
02/01/2005;07:00;448;1008;1267;2;298.68;79.06;977.47;7.00;62.40;0.990885;0.000000;0.000000
02/01/2005;08:00;443;1106;1377;2;298.82;78.34;977.00;6.87;60.48;0.980681;0.000000;0.000000
02/01/2005;09:00;428;1134;1408;2;298.89;78.22;976.53;6.66;59.07;0.898133;0.000000;0.000000
02/01/2005;10:00;287;1088;1356;2;298.91;78.17;975.99;6.43;58.19;0.861150;0.000000;0.000000
02/01/2005;11:00;171;972;1225;2;298.77;78.62;975.56;6.19;57.54;0.835726;0.000000;0.000000
02/01/2005;12:00;154;796;1023;2;298.61;78.96;975.19;6.00;57.79;0.751134;0.000000;0.000000
02/01/2005;13:00;179;574;766;2;298.28;80.09;975.11;5.81;58.35;0.648873;0.000000;0.000000
02/01/2005;14:00;94;326;470;2;297.84;81.72;975.37;5.70;59.28;0.598600;0.000000;0.000000
02/01/2005;15:00;26;87;155;5;297.40;83.34;975.93;5.67;60.16;0.487055;0.000000;0.000000
02/01/2005;16:00;0;0;0;1;297.05;85.02;976.43;5.75;59.83;0.432017;0.000000;0.000000
02/01/2005;17:00;0;0;0;1;296.89;86.14;976.80;6.03;58.78;0.469250;0.000000;0.000000
02/01/2005;18:00;0;0;0;1;296.88;86.53;977.05;6.26;57.70;0.516866;0.000000;0.000000
02/01/2005;19:00;0;0;0;1;296.90;86.69;977.12;6.38;56.08;0.495009;0.000000;0.000000
02/01/2005;20:00;0;0;0;1;296.90;86.94;976.73;6.30;53.96;0.570650;0.000000;0.000000
02/01/2005;21:00;0;0;0;1;296.88;86.94;976.21;6.07;51.93;0.634306;0.000000;0.000000
02/01/2005;22:00;0;0;0;1;296.86;86.94;975.82;5.67;51.12;0.561776;0.000000;0.000000
02/01/2005;23:00;0;0;0;1;296.84;86.88;975.50;5.29;51.35;0.615460;0.000000;0.000000
02/01/2005;24:00:00;0;0;0;1;296.83;87.06;975.36;5.05;52.07;0.643799;0.000000;0.000000
03/01/2005;01:00;0;0;0;1;296.83;87.02;975.31;5.03;53.48;0.610664;0.000000;0.000000
03/01/2005;02:00;1;4;10;5;296.80;87.14;975.64;5.14;54.88;0.502584;0.000000;0.000000
03/01/2005;03:00;46;145;239;5;297.18;85.81;976.07;5.91;55.55;0.674068;0.000000;0.000000
03/01/2005;04:00;101;392;551;5;297.58;84.05;976.39;6.46;54.50;0.713170;0.000000;0.000000
03/01/2005;05:00;142;635;839;5;298.00;82.20;976.62;7.00;51.56;0.725215;0.000000;0.000000
03/01/2005;06:00;217;846;1083;2;298.47;80.16;976.69;7.37;48.18;0.773178;0.000000;0.000000
03/01/2005;07:00;410;1007;1267;2;298.82;78.63;976.55;7.59;45.13;0.746143;0.000000;0.000000
03/01/2005;08:00;452;1104;1378;2;299.14;77.34;976.15;7.58;42.54;0.718884;0.000000;0.000000
03/01/2005;09:00;642;1131;1408;2;299.39;76.45;975.71;7.41;40.55;0.713134;0.000000;0.000000
03/01/2005;10:00;472;1084;1356;2;299.51;76.09;975.30;6.98;39.54;0.763484;0.000000;0.000000
03/01/2005;11:00;404;969;1224;2;299.57;75.76;974.87;6.37;39.90;0.810918;0.000000;0.000000
03/01/2005;12:00;228;793;1023;2;299.47;76.20;974.67;5.79;41.74;0.796292;0.000000;0.000000
03/01/2005;13:00;165;571;766;2;299.13;77.70;974.81;5.41;44.96;0.893003;0.000000;0.000000
03/01/2005;14:00;91;324;470;2;298.72;79.54;975.27;5.31;49.26;0.871898;0.000000;0.000000
03/01/2005;15:00;25;86;155;5;298.31;81.60;975.89;5.37;53.48;0.889534;0.000000;0.000000
03/01/2005;16:00;0;0;0;1;298.06;83.24;976.49;5.58;54.69;0.656214;0.000000;0.000000
03/01/2005;17:00;0;0;0;1;297.98;84.30;976.98;5.91;53.44;0.727869;0.000000;0.000000
03/01/2005;18:00;0;0;0;1;297.95;84.91;977.34;6.16;51.63;0.746562;0.000000;0.000000
03/01/2005;19:00;0;0;0;1;297.90;85.39;977.45;6.35;49.33;0.809090;0.000000;0.000000
03/01/2005;20:00;0;0;0;1;297.85;85.65;976.96;6.52;47.54;0.844199;0.000000;0.000000
03/01/2005;21:00;0;0;0;1;297.79;85.87;976.36;6.63;46.02;0.871301;0.000000;0.000000
03/01/2005;22:00;0;0;0;1;297.76;86.14;976.01;6.41;44.41;0.922410;0.000000;0.000000
03/01/2005;23:00;0;0;0;1;297.73;86.34;975.82;6.03;43.11;0.930718;0.000000;0.000000
03/01/2005;24:00:00;0;0;0;1;297.69;86.60;975.82;5.73;42.05;0.905220;0.000000;0.000000
04/01/2005;01:00;0;0;0;1;297.66;86.95;976.00;5.53;40.28;0.917982;0.000000;0.000000
04/01/2005;02:00;2;4;10;5;297.66;87.18;976.40;5.38;38.37;0.887888;0.000000;0.000000
04/01/2005;03:00;64;145;238;5;297.92;86.23;976.99;5.77;36.53;0.783377;0.000000;0.000000
04/01/2005;04:00;162;392;551;5;298.21;84.81;977.41;6.15;35.80;0.766477;0.000000;0.000000
04/01/2005;05:00;256;635;839;5;298.56;83.07;977.60;6.46;34.38;0.745997;0.000000;0.000000
04/01/2005;06:00;342;846;1083;2;298.90;81.44;977.74;6.64;32.29;0.676603;0.000000;0.000000
04/01/2005;07:00;373;1007;1267;2;299.26;79.95;977.69;6.67;30.15;0.639844;0.000000;0.000000
04/01/2005;08:00;469;1105;1378;2;299.48;79.12;977.44;6.53;28.15;0.645536;0.000000;0.000000
04/01/2005;09:00;765;1131;1408;2;299.58;78.89;977.15;6.34;26.27;0.695782;0.000000;0.000000
04/01/2005;10:00;748;1085;1356;2;299.62;78.83;976.86;5.95;22.80;0.843982;0.000000;0.000000
04/01/2005;11:00;594;969;1224;2;299.67;78.68;976.57;5.45;18.60;0.967736;0.000000;0.000000
04/01/2005;12:00;519;793;1023;2;299.54;79.21;976.35;5.00;15.35;1.047210;0.000000;0.000000
04/01/2005;13:00;311;571;765;2;299.20;80.91;976.40;4.60;13.84;1.231857;0.000000;0.000000
04/01/2005;14:00;104;323;469;2;298.84;82.82;976.80;4.18;14.15;1.400214;0.000000;0.000000
04/01/2005;15:00;25;85;154;2;298.53;84.37;977.45;3.72;15.75;1.254582;0.000000;0.000000
04/01/2005;16:00;0;0;0;1;298.30;85.42;978.05;3.51;17.59;1.109872;0.000000;0.000000
04/01/2005;17:00;0;0;0;1;298.20;85.89;978.48;3.72;19.36;1.098689;0.000000;0.000000
04/01/2005;18:00;0;0;0;1;298.09;86.80;978.90;3.91;22.21;1.101564;0.000000;0.000000
04/01/2005;19:00;0;0;0;1;297.99;87.68;979.07;4.28;24.43;1.048757;0.000000;0.000000
04/01/2005;20:00;0;0;0;1;297.92;88.12;978.51;4.75;26.63;1.001076;0.000000;0.000000
04/01/2005;21:00;0;0;0;1;297.94;88.47;977.68;5.22;28.61;1.244892;0.000000;0.000000
04/01/2005;22:00;0;0;0;1;298.07;88.44;977.19;5.35;27.14;1.712965;0.000000;0.000000
04/01/2005;23:00;0;0;0;1;298.17;88.53;976.97;5.17;23.50;2.016777;0.000000;0.000000
04/01/2005;24:00:00;0;0;0;1;298.22;89.08;976.89;4.83;20.52;2.135876;0.000000;0.000000
05/01/2005;01:00;0;0;0;1;298.30;88.99;977.04;4.85;18.09;1.760562;0.000000;0.000000
05/01/2005;02:00;2;3;8;5;298.33;89.00;977.43;4.90;17.25;1.426949;0.000000;0.000000
05/01/2005;03:00;117;139;232;5;298.49;88.21;978.03;5.28;18.13;1.171374;0.000000;0.000000
05/01/2005;04:00;378;387;545;5;298.65;86.72;978.37;5.85;18.63;0.933403;0.000000;0.000000
05/01/2005;05:00;635;632;834;2;298.84;85.20;978.37;6.22;18.89;0.517427;0.000000;0.000000
05/01/2005;06:00;845;845;1079;2;299.05;83.61;978.10;6.51;18.65;0.329260;0.000000;0.000000
05/01/2005;07:00;997;1008;1264;2;299.26;82.23;977.59;6.72;17.76;0.262771;0.000000;0.000000
05/01/2005;08:00;1109;1108;1376;2;299.45;81.26;976.97;6.83;16.59;0.213200;0.000000;0.000000
05/01/2005;09:00;1152;1136;1408;2;299.58;80.63;976.49;6.77;15.56;0.186051;0.000000;0.000000
05/01/2005;10:00;839;1091;1357;2;299.63;80.51;976.17;6.58;14.27;0.196708;0.000000;0.000000
05/01/2005;11:00;498;976;1227;2;299.62;80.84;975.96;6.23;12.66;0.226823;0.000000;0.000000
05/01/2005;12:00;239;800;1027;2;299.52;81.53;975.86;5.85;11.06;0.254490;0.000000;0.000000
05/01/2005;13:00;319;577;770;2;299.39;82.34;975.92;5.51;10.43;0.243304;0.000000;0.000000
05/01/2005;14:00;241;329;473;2;299.22;83.57;976.31;5.22;10.95;0.242314;0.000000;0.000000
05/01/2005;15:00;76;89;158;2;298.99;85.30;976.81;4.95;12.73;0.295600;0.000000;0.000000
05/01/2005;16:00;0;0;0;1;298.68;87.55;977.18;4.58;14.08;0.443872;0.000000;0.000000
05/01/2005;17:00;0;0;0;1;298.56;88.06;977.49;4.74;14.34;0.276876;0.000000;0.000000
05/01/2005;18:00;0;0;0;1;298.50;88.61;977.72;5.00;14.05;0.373626;0.000000;0.000000
05/01/2005;19:00;0;0;0;1;298.48;89.04;977.70;5.26;13.10;0.378654;0.000000;0.000000
05/01/2005;20:00;0;0;0;1;298.40;89.51;977.13;5.48;11.85;0.406103;0.000000;0.000000
05/01/2005;21:00;0;0;0;1;298.41;88.93;976.36;6.00;10.46;0.451292;0.000000;0.000000
05/01/2005;22:00;0;0;0;1;298.21;89.82;975.70;5.99;10.23;0.451925;0.000000;0.000000
05/01/2005;23:00;0;0;0;1;298.27;89.10;975.38;6.21;9.91;0.408714;0.000000;0.000000
05/01/2005;24:00:00;0;0;0;1;298.27;88.55;975.29;6.23;8.95;0.402713;0.000000;0.000000
06/01/2005;01:00;0;0;0;1;298.23;88.52;975.46;5.92;7.47;0.407687;0.000000;0.000000
06/01/2005;02:00;2;3;8;5;298.21;88.33;975.82;5.64;5.41;0.415978;0.000000;0.000000
06/01/2005;03:00;116;139;231;5;298.52;86.89;976.10;5.98;5.06;0.407463;0.000000;0.000000
06/01/2005;04:00;378;388;544;5;298.79;85.38;976.09;6.13;6.21;0.355866;0.000000;0.000000
06/01/2005;05:00;636;634;833;5;299.14;83.50;976.10;6.24;4.12;0.334667;0.000000;0.000000
06/01/2005;06:00;847;847;1079;2;299.57;81.57;976.14;6.32;359.16;0.246565;0.000000;0.000000
06/01/2005;07:00;1030;1010;1264;2;300.10;79.27;975.84;6.28;352.60;0.223924;0.000000;0.000000
06/01/2005;08:00;1043;1110;1376;2;300.42;77.98;975.49;6.05;346.68;0.192244;0.000000;0.000000
06/01/2005;09:00;765;1139;1408;2;300.60;77.56;975.13;5.68;344.92;0.145725;0.000000;0.000000
06/01/2005;10:00;379;1093;1357;2;300.70;77.30;974.73;5.33;344.38;0.081891;0.000000;0.000000
06/01/2005;11:00;331;978;1227;2;300.69;77.29;974.31;5.06;343.28;0.071033;0.000000;0.000000
06/01/2005;12:00;148;802;1026;2;300.60;77.50;974.06;4.88;343.09;0.045932;0.000000;0.000000
06/01/2005;13:00;95;579;769;2;300.39;78.15;974.04;4.71;344.07;0.041782;0.000000;0.000000
06/01/2005;14:00;67;329;473;2;300.04;79.82;974.43;4.50;344.17;0.060427;0.000000;0.000000
06/01/2005;15:00;26;88;157;2;299.52;82.96;974.93;4.25;343.38;0.071795;0.000000;0.000000
06/01/2005;16:00;0;0;0;1;299.10;85.82;975.35;4.26;344.11;0.128728;0.000000;0.000000
06/01/2005;17:00;0;0;0;1;298.91;86.97;975.48;4.64;346.55;0.210556;0.000000;0.000000
06/01/2005;18:00;0;0;0;1;298.78;87.69;975.75;5.03;347.77;0.215375;0.000000;0.000000
06/01/2005;19:00;0;0;0;1;298.70;88.24;975.85;5.41;346.95;0.309031;0.000000;0.000000
06/01/2005;20:00;0;0;0;1;298.54;88.31;975.41;5.71;344.54;0.327740;0.000000;0.000000
06/01/2005;21:00;0;0;0;1;298.45;88.59;974.79;5.79;343.02;0.450288;0.000000;0.000000
06/01/2005;22:00;0;0;0;1;298.40;88.49;974.32;6.00;340.42;0.454743;0.000000;0.000000
06/01/2005;23:00;0;0;0;1;298.32;88.62;974.16;5.97;337.63;0.472509;0.000000;0.000000
06/01/2005;24:00:00;0;0;0;1;298.37;88.04;973.96;6.17;334.17;0.471672;0.000000;0.000000
07/01/2005;01:00;0;0;0;1;298.22;88.31;973.93;5.98;330.29;0.414345;0.000000;0.000000
07/01/2005;02:00;1;2;7;5;298.29;87.82;974.10;5.94;326.40;0.390851;0.000000;0.000000
07/01/2005;03:00;38;132;225;5;298.51;86.85;974.34;6.23;322.78;0.405899;0.000000;0.000000
07/01/2005;04:00;71;380;538;5;298.68;85.68;974.37;6.33;319.75;0.367141;0.000000;0.000000
07/01/2005;05:00;79;626;828;2;298.96;84.32;974.33;6.33;316.65;0.332372;0.000000;0.000000
07/01/2005;06:00;133;840;1075;2;299.47;82.14;974.21;6.40;312.38;0.322069;0.000000;0.000000
07/01/2005;07:00;511;1005;1261;2;299.90;80.44;974.00;6.47;306.99;0.347533;0.000000;0.000000
07/01/2005;08:00;1114;1106;1375;2;300.20;79.24;973.67;6.53;300.74;0.371847;0.000000;0.000000
07/01/2005;09:00;787;1135;1408;2;300.31;78.74;973.39;6.53;294.23;0.541864;0.000000;0.000000
07/01/2005;10:00;487;1091;1359;2;300.25;78.57;973.03;6.29;287.87;0.581365;0.000000;0.000000
07/01/2005;11:00;497;977;1230;2;300.19;78.32;972.64;5.82;281.72;0.633559;0.000000;0.000000
07/01/2005;12:00;320;802;1030;2;299.97;78.63;972.41;5.25;275.23;0.542143;0.000000;0.000000
07/01/2005;13:00;106;580;773;2;299.68;79.01;972.44;4.66;267.45;0.455309;0.000000;0.000000
07/01/2005;14:00;69;331;477;2;299.34;79.70;972.85;4.09;258.21;0.332331;0.000000;0.000000
07/01/2005;15:00;26;90;161;2;298.92;80.80;973.43;3.57;249.18;0.221611;0.000000;0.000000
07/01/2005;16:00;0;0;0;1;298.56;81.90;973.86;3.21;241.69;0.164677;0.000000;0.000000
07/01/2005;17:00;0;0;0;1;298.37;82.03;974.15;2.92;235.40;0.130561;0.000000;0.000000
07/01/2005;18:00;0;0;0;1;298.21;82.30;974.38;2.39;228.84;0.084338;0.000000;0.000000
07/01/2005;19:00;0;0;0;1;298.09;82.62;974.39;1.83;222.27;0.051107;0.000000;0.000000
07/01/2005;20:00;0;0;0;1;297.98;82.71;973.92;1.54;218.89;0.058697;0.000000;0.000000
07/01/2005;21:00;0;0;0;1;297.90;82.93;973.44;1.51;223.99;0.049869;0.000000;0.000000
07/01/2005;22:00;0;0;0;1;297.78;83.79;973.34;1.81;228.63;0.120222;0.000000;0.000000
07/01/2005;23:00;0;0;0;1;297.67;84.67;973.42;2.22;226.07;0.224079;0.000000;0.000000
07/01/2005;24:00:00;0;0;0;1;297.55;85.32;973.57;2.49;219.35;0.294629;0.000000;0.000000
08/01/2005;01:00;0;0;0;1;297.44;85.61;973.75;2.55;208.70;0.273518;0.000000;0.000000
08/01/2005;02:00;2;2;7;5;297.37;85.75;974.11;2.55;196.27;0.242953;0.000000;0.000000
08/01/2005;03:00;118;137;224;5;297.66;84.22;974.63;2.81;184.45;0.241449;0.000000;0.000000
08/01/2005;04:00;393;387;538;5;297.91;82.80;974.98;2.72;174.80;0.306803;0.000000;0.000000
08/01/2005;05:00;662;633;828;5;298.30;80.15;975.31;2.31;167.33;0.287693;0.000000;0.000000
08/01/2005;06:00;797;847;1075;2;298.76;77.04;975.43;1.72;162.24;0.339814;0.000000;0.000000
08/01/2005;07:00;838;1011;1261;2;299.22;74.59;975.40;1.17;159.11;0.364064;0.000000;0.000000
08/01/2005;08:00;495;1111;1375;2;299.60;72.84;975.26;0.75;148.37;0.368249;0.000000;0.000000
08/01/2005;09:00;414;1140;1408;2;299.84;72.08;975.13;0.50;118.56;0.405347;0.000000;0.000000
08/01/2005;10:00;267;1095;1359;2;299.87;72.33;974.84;0.63;92.44;0.461357;0.000000;0.000000
08/01/2005;11:00;206;981;1229;2;299.71;73.45;974.64;0.90;91.47;0.491403;0.000000;0.000000
08/01/2005;12:00;162;805;1030;2;299.35;75.65;974.60;1.30;97.44;0.528276;0.000000;0.000000
08/01/2005;13:00;127;583;773;2;298.97;78.15;974.73;1.88;101.12;0.450433;0.000000;0.000000
08/01/2005;14:00;82;333;476;2;298.68;80.56;975.05;2.57;102.38;0.436382;0.000000;0.000000
08/01/2005;15:00;27;92;160;2;298.35;83.16;975.55;3.14;103.27;0.463956;0.000000;0.000000
08/01/2005;16:00;0;0;0;1;298.10;85.05;976.08;3.44;105.00;0.422790;0.000000;0.000000
08/01/2005;17:00;0;0;0;1;297.99;85.85;976.59;3.59;103.88;0.476268;0.000000;0.000000
08/01/2005;18:00;0;0;0;1;297.96;86.36;977.04;3.68;101.22;0.585690;0.000000;0.000000
08/01/2005;19:00;0;0;0;1;297.95;86.89;977.20;3.66;98.49;0.573538;0.000000;0.000000
08/01/2005;20:00;0;0;0;1;297.96;87.40;976.70;3.56;94.92;0.653328;0.000000;0.000000
08/01/2005;21:00;0;0;0;1;298.00;87.85;976.03;3.44;90.69;0.646332;0.000000;0.000000
08/01/2005;22:00;0;0;0;1;298.07;88.07;975.48;3.33;85.95;0.652946;0.000000;0.000000
08/01/2005;23:00;0;0;0;1;298.16;88.05;975.14;3.24;82.16;0.679423;0.000000;0.000000
08/01/2005;24:00:00;0;0;0;1;298.26;87.85;975.16;3.14;77.16;0.650877;0.000000;0.000000
09/01/2005;01:00;0;0;0;1;298.33;87.62;975.36;3.00;71.70;0.653424;0.000000;0.000000
09/01/2005;02:00;0;2;6;5;298.41;87.31;975.87;2.85;66.72;0.636801;0.000000;0.000000
09/01/2005;03:00;37;132;223;5;298.75;86.09;976.63;2.93;60.04;0.636965;0.000000;0.000000
09/01/2005;04:00;71;380;537;2;299.10;84.12;977.13;2.98;53.12;0.620897;0.000000;0.000000
09/01/2005;05:00;140;627;827;2;299.55;81.48;977.46;3.11;44.97;0.583064;0.000000;0.000000
09/01/2005;06:00;275;842;1074;2;299.94;79.55;977.64;3.44;39.83;0.591305;0.000000;0.000000
09/01/2005;07:00;506;1006;1261;2;300.24;78.04;977.50;3.89;37.31;0.586083;0.000000;0.000000
09/01/2005;08:00;619;1108;1375;2;300.54;77.04;977.31;4.30;35.83;0.608195;0.000000;0.000000
09/01/2005;09:00;851;1137;1408;2;300.68;76.80;977.11;4.57;34.42;0.661485;0.000000;0.000000
09/01/2005;10:00;664;1094;1359;2;300.72;76.62;976.82;4.69;32.97;0.669759;0.000000;0.000000
09/01/2005;11:00;358;980;1229;2;300.67;76.44;976.50;4.68;32.92;0.788658;0.000000;0.000000
09/01/2005;12:00;159;805;1029;2;300.52;76.72;976.28;4.48;33.23;0.696394;0.000000;0.000000
09/01/2005;13:00;259;583;772;2;300.25;77.61;976.37;4.27;33.55;0.675420;0.000000;0.000000
09/01/2005;14:00;86;333;475;2;299.79;79.42;976.80;4.13;34.61;0.634663;0.000000;0.000000
09/01/2005;15:00;26;91;159;2;299.38;81.16;977.39;3.96;36.65;0.634739;0.000000;0.000000
09/01/2005;16:00;0;0;0;5;299.12;82.55;978.06;3.79;37.42;0.593558;0.000000;0.000000
09/01/2005;17:00;0;0;0;1;299.02;82.97;978.66;3.80;38.18;0.576529;0.000000;0.000000
09/01/2005;18:00;0;0;0;1;298.93;83.46;979.21;3.85;38.52;0.565957;0.000000;0.000000
09/01/2005;19:00;0;0;0;1;298.85;83.71;979.50;3.90;37.07;0.601173;0.000000;0.000000
09/01/2005;20:00;0;0;0;1;298.78;83.40;979.12;3.87;36.37;0.588044;0.000000;0.000000
09/01/2005;21:00;0;0;0;1;298.66;83.25;978.50;3.86;37.71;0.559981;0.000000;0.000000
09/01/2005;22:00;0;0;0;1;298.48;83.19;977.89;3.78;41.51;0.437529;0.000000;0.000000
09/01/2005;23:00;0;0;0;1;298.45;82.88;977.52;3.85;46.40;0.353679;0.000000;0.000000
09/01/2005;24:00:00;0;0;0;1;298.27;83.06;977.40;3.91;49.86;0.271625;0.000000;0.000000
10/01/2005;01:00;0;0;0;1;298.23;82.86;977.68;3.99;52.76;0.212830;0.000000;0.000000
10/01/2005;02:00;1;2;5;5;298.06;83.10;978.20;4.09;55.79;0.174029;0.000000;0.000000
10/01/2005;03:00;112;131;216;5;298.37;81.53;978.64;4.91;57.74;0.150329;0.000000;0.000000
10/01/2005;04:00;384;381;531;2;298.64;79.84;978.86;5.34;57.53;0.139090;0.000000;0.000000
10/01/2005;05:00;650;631;822;2;298.88;78.00;979.06;4.93;56.06;0.118644;0.000000;0.000000
10/01/2005;06:00;865;848;1070;2;299.14;75.55;979.35;3.88;54.10;0.091520;0.000000;0.000000
10/01/2005;07:00;1016;1015;1258;2;299.53;72.89;979.29;2.95;52.46;0.049255;0.000000;0.000000
10/01/2005;08:00;1078;1118;1374;2;299.95;70.14;978.76;2.41;50.26;0.020226;0.000000;0.000000
10/01/2005;09:00;769;1149;1408;2;300.28;68.05;978.29;2.11;49.06;0.003420;0.000000;0.000000
10/01/2005;10:00;661;1106;1360;2;300.52;66.58;977.87;2.32;64.13;0.001500;0.000000;0.000000
10/01/2005;11:00;503;992;1232;2;300.41;67.43;977.58;3.12;83.29;0.001553;0.000000;0.000000
10/01/2005;12:00;457;816;1033;2;300.08;69.72;977.61;4.09;94.63;0.002849;0.000000;0.000000
10/01/2005;13:00;287;591;776;2;299.71;72.30;977.85;4.93;100.68;0.033805;0.000000;0.000000
10/01/2005;14:00;139;339;479;5;299.26;75.34;978.39;5.71;102.59;0.098658;0.000000;0.000000
10/01/2005;15:00;40;94;163;5;298.86;77.95;979.07;6.24;102.16;0.160634;0.000000;0.000000
10/01/2005;16:00;0;0;0;5;298.58;79.72;979.60;6.22;99.49;0.198726;0.000000;0.000000
10/01/2005;17:00;0;0;0;1;298.46;80.27;979.94;6.09;96.36;0.214523;0.000000;0.000000
10/01/2005;18:00;0;0;0;1;298.35;80.74;980.22;5.96;92.86;0.176668;0.000000;0.000000
10/01/2005;19:00;0;0;0;1;298.18;81.49;980.28;5.69;89.83;0.171919;0.000000;0.000000
10/01/2005;20:00;0;0;0;1;297.99;82.20;979.73;5.36;88.44;0.204468;0.000000;0.000000
10/01/2005;21:00;0;0;0;1;297.79;83.02;979.01;5.13;88.96;0.194499;0.000000;0.000000
10/01/2005;22:00;0;0;0;1;297.62;83.47;978.41;5.03;90.12;0.173617;0.000000;0.000000
10/01/2005;23:00;0;0;0;1;297.56;83.24;978.09;4.98;91.73;0.127963;0.000000;0.000000
10/01/2005;24:00:00;0;0;0;1;297.28;83.76;978.15;4.82;93.65;0.117381;0.000000;0.000000
11/01/2005;01:00;0;0;0;1;297.26;83.95;978.52;4.81;96.27;0.117984;0.000000;0.000000
11/01/2005;02:00;1;2;5;5;297.14;84.55;979.10;4.70;99.02;0.135909;0.000000;0.000000
11/01/2005;03:00;109;132;215;5;297.50;83.07;979.82;5.06;100.62;0.130975;0.000000;0.000000
11/01/2005;04:00;374;384;530;5;297.83;81.17;980.18;5.28;99.74;0.109229;0.000000;0.000000
11/01/2005;05:00;637;635;821;5;298.15;79.51;980.34;5.35;96.45;0.103739;0.000000;0.000000
11/01/2005;06:00;856;853;1070;2;298.61;77.43;980.19;5.36;91.82;0.123367;0.000000;0.000000
11/01/2005;07:00;903;1021;1258;2;299.14;75.17;979.76;5.36;87.38;0.133523;0.000000;0.000000
11/01/2005;08:00;482;1124;1374;2;299.54;73.81;979.23;5.37;84.13;0.151059;0.000000;0.000000
11/01/2005;09:00;550;1155;1408;2;299.80;72.90;978.76;5.32;82.14;0.239174;0.000000;0.000000
11/01/2005;10:00;448;1111;1360;2;299.93;71.99;978.39;5.16;81.50;0.285234;0.000000;0.000000
11/01/2005;11:00;437;996;1232;2;299.96;70.98;977.98;4.93;83.01;0.371526;0.000000;0.000000
11/01/2005;12:00;265;819;1032;2;299.87;70.74;977.77;4.74;86.69;0.357191;0.000000;0.000000
11/01/2005;13:00;146;594;775;2;299.66;71.17;977.84;4.67;90.98;0.303968;0.000000;0.000000
11/01/2005;14:00;89;340;479;2;299.27;72.65;978.34;4.68;94.41;0.211824;0.000000;0.000000
11/01/2005;15:00;30;93;162;2;298.70;75.35;979.04;4.64;95.80;0.246818;0.000000;0.000000
